1, 20180104, 2, 1, 2, 2, 0.13, 2.13
2, 20180110, 6, 2.5, 4, 10, 0.63, 10.63
3, 20180201, 6, 2.5, 1, 2.5, 0.16, 2.66
4, 20180220, 1, 1.75, 6, 10.50, 0.66, 11.16
5, 20180227, 10, 1, 1, 1, 0.06, 1.06
6, 20180305, 9, 2, 3, 6, 0.38, 6.38
7, 20180401, 4, 3.5, 5, 17.5, 1.09, 18.59
8, 20180420, 3, 3, 4, 12, 0.75, 12.75
9, 20180516, 7, 3.25, 5, 16.25, 1.02, 17.27
10, 20180830, 5, 2.75, 1, 2.75, 0.17, 2.92
11, 20180902, 9, 2, 10, 20, 1.25, 21.25
12, 20180920, 8, 1.75, 8, 14, 0.88, 14.88
13, 20181012, 6, 2.5, 2, 5, 0.31, 5.31
14, 20181031, 1, 1.75, 5, 8.75, 0.55, 9.3
15, 20181103, 7, 3.25, 6, 19.5, 1.22, 20.72
